Data,Shaming
Non au non il sont tous moch*,body shaming
Toi bien moche et bien gros,body shaming
🤨😂pq ? Belle guenon 🤣,body shaming
Regarde la tête d’isaac,body shaming
T moche,body shaming
J’avoue toi ta tête triangulaire et Rafael,body shaming
Tête triangulaire 🤮🤢🖕,body shaming
Tête triangulaire,body shaming
Elle est moche lana en plus,body shaming
Ton frère y'a un gros crâne,body shaming
Ta un crâne bien triangulaire donc parle pas,body shaming
Bas tu les exposer tu veux que je dise que maxence et sofia sont beau,body shaming
C’est très très très très moche,body shaming
Il est degeulasse mon bronzage,body shaming
C moche,body shaming
Il a dis que Jss moche mdrrrr,body shaming
Jte jure j’ai une tete horrible je pense,body shaming
C trop moche🥲,body shaming
Comme moi elle dit que j’ai des gros cheveux et un gros nez,body shaming
  T’inquiète mais je suis tjrs aussi moche mdr 😭😭🥹,body shaming
Moi je peux dire je suis moche mdr,body shaming
T’es sur moi je trouve que je suis moche,body shaming
Ta des grands pieds 😨 tu fais du combien 🤣🤣,body shaming
Et tu vois ma sœur et en appel avec saba  Et saba m’a dit que Sirine avez dit que Jihane parler su son dos qu’elle étaitmoche et tout et elle m’a dit si c’était vrai et je lui et dit que tout étaitfaux et qu’elle avait inventer,body shaming
Oui mes comment tu fais pour que les autre t aime bien je suis moche ma tenuses moche,body shaming
Elle est très moche enfaite,body shaming
Par contre ma tête a la fin de la vidéo elle était horrible,body shaming
Toi t’es large,body shaming
Je suis là juste tu me cache avec ta graisse,body shaming
Toi bien moche et bien gros,body shaming
Tg le kfc sur pates,body shaming
Tg gros 🐖,body shaming
Les deux gros ensemble,body shaming
Il peut faire un groupe tout seule il serait quand même à plusieurs,body shaming
Chu la pote d’une fille une t’a vue a la PATININOIRE!!! Grosse info,body shaming
gros,body shaming
Ta des grands pieds 😨 tu fais du combien 🤣🤣,body shaming
Et après on dit quand on mange trop que on est gros,body shaming
C toi qui a dit à Zakariya que moi et lui badboute,body shaming
A excuse nous maintenant c moi la vicieuse et vas-y va la bas dans l’histoirec toi tu te tape la honte comme tu aime dire tout les jour au gens et t’es làplus GROSSE DES VICIEUSE que je connaît,body shaming
"Je pense qu’on etait ptet pas fait pour etre ensemble j’espère que tutrouveras mieux un femme moins conne qui t’aime plus qu’une grosse conne commemoi une femme qui se sens mieux dans sa peau que moi et qui de pose moin deproblème, qui te fais pas pleurer",body shaming
Je suis qu’une grosse connasse de merde,body shaming
Il a explosé comme ta coupe Alix,body shaming
Avec sa coupe faite chez la famille,body shaming
Regarde la tête d’isaac,body shaming
Dit au demi portion qu’il sont petit,body shaming
"J’abuse pas , t malade toi , tu fait un pas tu traverse la moitié de laplanète",body shaming
Sale nain de jardin,body shaming
commentaire tes explications sont bonnes mais pourraient gagner davantage enpra cision notamment sur ce ains a la ments tu me parles tra s bien de teschoix et de la raison de leur pra sence pour les a la ments cita s en revanche parle moi des autres aussi le fait que tu as repra senta le territoiremarocain dans la forme du pays les couleurs utilisa es etc sur la productionen elle ma me cela est tra s bien pensa je mettrais juste un ba mol surl arria re plan qui fait tra s vide il aurait par exemple fallu agrandir lepays ou remplir d une mania re ou d une autre le fond,not body shaming
salut sa va ,not body shaming
att ja essaye,not body shaming
voila tu est contente a demain mv,not body shaming
pour me dire,not body shaming
ra fla chir en utilisant les documents proposa s noter les ra flexions sur lecahier,not body shaming
la semaine prochaine je me des inscrits,not body shaming
oui stv,not body shaming
